phase,completed_at,map_id,method,seed,status,replay_schedule,validation_conflict_auc,test_conflict_safe_success,test_conflict_dynamic_collision,test_conflict_timeout,static_safe_success,config_sha256,manifest_sha256,code_sha256,fork_sha256,result_path
01_2026-09-17_to_21_replay_baselines,2026-09-21 13:21:54,irregular_workcell_91701,time_decay,0,complete,decay,0.95,0.9166666666666666,0.0,0.08333333333333333,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,5c41a54ff096d1782a505fdc8fb6f5066c75cf7d01a9b1aba3a113a021920cb5,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\time_decay\seed_0\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-21 13:41:14,irregular_workcell_91701,time_decay,1,complete,decay,0.8875,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,f629cd848fed8a084d1c7a5bdf2d352ee5ec8cdde57b651319764b6b82614c9d,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\time_decay\seed_1\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-21 14:00:36,irregular_workcell_91701,time_decay,2,complete,decay,0.9249999999999998,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,2b1bd2711ee97ac7c25a1b3210129601a8eb1eef6aa2872e3c9bbcd9c64637ed,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\time_decay\seed_2\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-21 14:19:54,irregular_workcell_91701,time_decay,3,complete,decay,0.8666666666666667,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,e22831952e3386fbbf68865275b5b5d1d7f24c9cfde5a320a0be46ea55d2b9c4,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\time_decay\seed_3\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-21 14:39:20,irregular_workcell_91701,time_decay,4,complete,decay,0.8041666666666667,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,6fcaa4fd2e958a8e22ddd297ccd8d93900b2e941919cf11da249b46d8d3643bb,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91701\time_decay\seed_4\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-21 14:59:11,irregular_workcell_91702,time_decay,0,complete,decay,0.9416666666666668,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,ab24780725f25ed07673e9ea461b3838ff193696c1d7ac8016f532280282cabc,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91702\time_decay\seed_0\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-21 15:18:21,irregular_workcell_91702,time_decay,1,complete,decay,0.9666666666666667,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,0b70329be69ea8ac625f81e63a7c1029d50ec320cd3dab2179d56ea011611614,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91702\time_decay\seed_1\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-21 15:37:57,irregular_workcell_91702,time_decay,2,complete,decay,0.9791666666666665,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,b64e77a174563e8e6aceedcb9d14d505726b2d654fcae9c6fdcd2b838dad7315,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91702\time_decay\seed_2\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-21 15:57:18,irregular_workcell_91702,time_decay,3,complete,decay,0.9625,0.9166666666666666,0.08333333333333333,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,88d41ef0345464517d3aa6d63e56c2a5c6641996d4fd4e4c733efaa80f2b6d3a,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91702\time_decay\seed_3\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-21 16:16:37,irregular_workcell_91702,time_decay,4,complete,decay,0.9291666666666666,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,24f44eb99f80a0f061660ce8510d34491e7e1546f4cb10d174878ac3d5b65801,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91702\time_decay\seed_4\result.json
