episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
554,51521,97,pair_014_n5_014_conflict,conflict,1,0,0,12.290000000000001,0.21413333333333334,809126,2488218,25504,290,1143898,0,0,0,0.0,692,692,0,0,66,626,0,692,29
555,51599,78,pair_010_n3_010_control,control,1,0,0,12.480000000000002,0.21400333333333332,809594,2492742,25514,290,1145794,0,0,0,0.0,692,692,0,0,66,626,0,692,29
556,51684,85,pair_001_n5_001_control,control,1,0,0,12.410000000000002,0.21386166666666667,810104,2497672,25553,291,1147893,0,0,0,0.0,695,695,0,0,66,629,0,695,29
557,51763,79,pair_006_n5_006_conflict,conflict,1,0,0,12.470000000000002,0.21372999999999998,810578,2502254,25586,291,1149806,0,0,0,0.0,695,695,0,0,66,629,0,695,29
558,51845,82,pair_001_n3_001_conflict,conflict,1,0,0,12.440000000000001,0.2135933333333333,811070,2507010,25596,291,1151838,0,0,0,0.0,695,695,0,0,66,629,0,695,29
559,51933,88,pair_015_n3_015_control,control,1,0,0,12.380000000000003,0.21344666666666667,811598,2512114,25620,291,1154032,0,0,0,0.0,695,695,0,0,66,629,0,695,29
560,52018,85,pair_000_n3_000_control,control,1,0,0,12.410000000000002,0.213305,812108,2517044,25653,291,1156190,0,0,0,0.0,695,695,0,0,66,629,0,695,29
561,52101,83,pair_000_n5_000_control,control,1,0,0,12.430000000000001,0.21316666666666667,812606,2521858,25684,291,1158324,0,0,0,0.0,695,695,0,0,66,629,0,695,29
562,52182,81,pair_003_n3_003_conflict,conflict,1,0,0,12.450000000000001,0.21303166666666667,813092,2526556,25704,291,1160393,0,0,0,0.0,695,695,0,0,66,629,0,695,29
563,52276,94,pair_003_n5_003_control,control,1,0,0,12.320000000000002,0.21287499999999998,813656,2532008,25722,291,1162728,0,0,0,0.0,695,695,0,0,66,629,0,695,29
564,52372,96,pair_007_n5_007_conflict,conflict,1,0,0,12.3,0.212715,814232,2537576,25751,291,1165043,0,0,0,0.0,695,695,0,0,66,629,0,695,29
565,52451,79,pair_006_n3_006_conflict,conflict,1,0,0,12.470000000000002,0.21258333333333332,814706,2542158,25807,292,1166946,0,0,0,0.0,695,695,0,0,66,629,0,695,29
566,52544,93,pair_010_n5_010_conflict,conflict,1,0,0,12.330000000000002,0.21242833333333333,815264,2547552,25825,292,1169212,0,0,0,0.0,695,695,0,0,66,629,0,695,29
567,52626,82,pair_007_n5_007_control,control,1,0,0,12.440000000000001,0.21229166666666666,815756,2552308,25849,292,1171121,0,0,0,0.0,695,695,0,0,66,629,0,695,29
568,52710,84,pair_011_n3_011_control,control,1,0,0,12.420000000000002,0.21215166666666666,816260,2557180,25872,292,1173112,0,0,0,0.0,695,695,0,0,66,629,0,695,29
569,52808,98,pair_009_n3_009_conflict,conflict,1,0,0,12.280000000000003,0.21198833333333333,816848,2562864,25917,292,1175436,0,0,0,0.0,696,696,0,0,66,630,0,696,29
570,52914,106,pair_017_n3_017_conflict,conflict,1,0,0,12.200000000000001,0.21181166666666668,817484,2569012,25952,292,1177901,0,0,0,0.0,696,696,0,0,66,630,0,696,29
571,52999,85,pair_011_n5_011_control,control,1,0,0,12.410000000000002,0.21166999999999997,817994,2573942,25980,292,1179876,0,0,0,0.0,696,696,0,0,66,630,0,696,29
572,53087,88,pair_010_n3_010_conflict,conflict,1,0,0,12.380000000000003,0.21152333333333334,818522,2579046,25993,292,1181964,0,0,0,0.0,696,696,0,0,66,630,0,696,29
573,53171,84,pair_009_n3_009_control,control,1,0,0,12.420000000000002,0.2113833333333333,819026,2583918,26027,292,1183919,0,0,0,0.0,696,696,0,0,66,630,0,696,29
574,53251,80,pair_011_n5_011_conflict,conflict,1,0,0,12.46,0.21125,819506,2588558,26080,292,1185803,0,0,0,0.0,696,696,0,0,66,630,0,696,29
575,53341,90,pair_001_n3_001_control,control,1,0,0,12.360000000000001,0.21109999999999998,820046,2593778,26089,292,1187913,0,0,0,0.0,696,696,0,0,66,630,0,696,29
576,53419,78,pair_012_n3_012_conflict,conflict,1,0,0,12.48,0.21097,820514,2598302,26127,292,1189686,0,0,0,0.0,696,696,0,0,66,630,0,696,29
577,53505,86,pair_000_n5_000_control,control,1,0,0,12.400000000000002,0.21082666666666666,821030,2603290,26157,292,1191609,0,0,0,0.0,696,696,0,0,66,630,0,696,29
578,53594,89,pair_009_n5_009_conflict,conflict,1,0,0,12.370000000000001,0.21067833333333333,821564,2608452,26197,293,1193674,0,0,0,0.0,696,696,0,0,66,630,0,696,29
579,53670,76,pair_011_n3_011_conflict,conflict,1,0,0,12.500000000000002,0.21055166666666664,822020,2612860,26212,293,1195449,0,0,0,0.0,696,696,0,0,66,630,0,696,29
580,53755,85,pair_015_n3_015_conflict,conflict,1,0,0,12.410000000000002,0.21040999999999999,822530,2617790,26240,293,1197395,0,0,0,0.0,696,696,0,0,66,630,0,696,29
581,53837,82,pair_007_n3_007_control,control,1,0,0,12.440000000000001,0.2102733333333333,823022,2622546,26279,293,1199252,0,0,0,0.0,697,697,0,0,66,631,0,697,29
582,53916,79,pair_006_n3_006_conflict,conflict,1,0,0,12.470000000000002,0.21014166666666667,823496,2627128,26309,293,1201048,0,0,0,0.0,697,697,0,0,66,631,0,697,29
583,54003,87,pair_015_n5_015_control,control,1,0,0,12.39,0.20999666666666666,824018,2632174,26347,293,1203021,0,0,0,0.0,697,697,0,0,66,631,0,697,29
584,54086,83,pair_011_n5_011_conflict,conflict,1,0,0,12.430000000000001,0.2098583333333333,824516,2636988,26376,293,1204889,0,0,0,0.0,698,698,0,0,66,632,0,698,29
585,54176,90,pair_001_n3_001_conflict,conflict,1,0,0,12.360000000000001,0.20970833333333333,825056,2642208,26387,294,1206789,0,0,0,0.0,699,699,0,0,67,632,0,699,29
586,54251,75,pair_008_n3_008_conflict,conflict,1,0,0,12.510000000000002,0.20958333333333332,825506,2646558,26396,294,1208468,0,0,0,0.0,700,700,0,0,67,633,0,700,29
587,54331,80,pair_017_n3_017_conflict,conflict,1,0,0,12.46,0.20944999999999997,825986,2651198,26439,295,1210295,0,0,0,0.0,701,701,0,0,67,634,0,701,29
588,54409,78,pair_009_n3_009_control,control,1,0,0,12.48,0.20932,826454,2655722,26475,295,1212003,0,0,0,0.0,701,701,0,0,67,634,0,701,29
589,54501,92,pair_014_n3_014_control,control,1,0,0,12.340000000000002,0.20916666666666667,827006,2661058,26520,295,1214071,0,0,0,0.0,702,702,0,0,67,635,0,702,29
590,54600,99,pair_000_n5_000_conflict,conflict,1,0,0,12.270000000000001,0.20900166666666664,827600,2666800,26579,296,1216192,0,0,0,0.0,703,703,0,0,67,636,0,703,29
591,54681,81,pair_002_n5_002_conflict,conflict,1,0,0,12.450000000000001,0.20886666666666664,828086,2671498,26607,296,1217939,0,0,0,0.0,704,704,0,0,67,637,0,704,29
