episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_marked_total,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,action_margin_candidate_steps_cumulative,action_margin_labeled_steps_cumulative,action_margin_safe_labels_cumulative,action_margin_blocked_labels_cumulative,action_margin_mean_loss,action_margin_batch_items_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
91,14920,147,pair_003_n5_003_control,control,0,1,0,0.49000000000000066,0.27513499999999996,238720,716160,9372,133,323190,0,0,0,0,0.0,0,0,0,0,0,0,14920,616,2189,641,0.009625423189230417,23665,0,0,0
92,15220,300,pair_001_n5_001_conflict,conflict,0,0,0,0.09999999999999945,0.27463499999999996,243520,730560,9622,133,332563,0,0,0,0,0.0,0,0,0,0,0,0,15220,619,2201,644,0.009446010995091117,24176,0,0,0
93,15520,300,pair_001_n3_001_conflict,conflict,0,0,0,0.04999999999999948,0.274135,248320,744960,9853,137,341904,0,0,0,0,0.0,0,0,0,0,0,0,15520,631,2248,657,0.009276081156434716,24697,0,0,0
94,15820,300,pair_006_n3_006_conflict,conflict,0,0,0,-0.2500000000000005,0.27363499999999996,253120,759360,9963,137,351167,0,0,0,0,0.0,0,0,0,0,0,0,15820,633,2255,660,0.00910106842672683,25129,0,0,0
95,16087,267,pair_005_n5_005_conflict,conflict,0,1,0,-0.5100000000000007,0.27319,257392,772176,10191,139,359224,0,0,0,0,0.0,0,0,0,0,0,0,16087,643,2294,670,0.008950664078929452,25480,0,0,0
96,16387,300,pair_013_n5_013_control,control,0,0,0,-0.15000000000000038,0.27269,262192,786576,10483,139,368273,0,0,0,0,0.0,0,0,0,0,0,0,16387,645,2302,672,0.008792461183506845,25845,0,0,0
97,16687,300,pair_001_n3_001_control,control,0,0,0,-2.500000000000001,0.27219,266992,800976,10503,139,377508,0,0,0,0,0.0,0,0,0,0,0,0,16687,645,2302,672,0.008634947215766896,26205,0,0,0
98,16987,300,pair_008_n3_008_conflict,conflict,0,0,0,-1.1500000000000004,0.27169,271792,815376,10529,139,386308,0,0,0,0,0.0,0,0,0,0,0,0,16987,646,2306,673,0.00848394411192085,26548,0,0,0
99,17287,300,pair_015_n5_015_conflict,conflict,0,0,0,-0.15000000000000036,0.27119,276592,829776,10760,139,394841,0,0,0,0,0.0,0,0,0,0,0,0,17287,646,2306,673,0.008340451422114233,26859,0,0,0
100,17340,53,pair_006_n5_006_conflict,conflict,0,1,0,-0.9199999999999999,0.27110166666666663,277440,832320,10813,140,396369,0,0,0,0,0.0,0,0,0,0,0,0,17340,652,2323,682,0.008314958692854021,26919,0,0,0
101,17560,220,pair_007_n5_007_conflict,conflict,0,1,0,-0.040000000000000036,0.270735,280960,842880,11009,141,402522,0,0,0,0,0.0,0,0,0,0,0,0,17560,660,2352,691,0.008238632077799074,27130,0,0,0
102,17704,144,pair_012_n3_012_conflict,conflict,0,1,0,-1.8300000000000005,0.270495,283264,849792,11153,141,406553,0,0,0,0,0.0,0,0,0,0,0,0,17704,662,2358,693,0.008223833195847288,27304,0,0,0
103,17837,133,pair_017_n5_017_conflict,conflict,0,1,0,0.4800000000000004,0.2702733333333333,285392,856176,11268,141,410333,0,0,0,0,0.0,0,0,0,0,0,0,17837,666,2370,698,0.00816923234565825,27441,0,0,0
104,18137,300,pair_012_n3_012_control,control,0,0,0,-2.899999999999999,0.2697733333333333,290192,870576,11568,141,419226,0,0,0,0,0.0,0,0,0,0,0,0,18137,668,2377,700,0.008035048333069755,27772,0,0,0
105,18437,300,pair_000_n3_000_conflict,conflict,0,0,0,0.15000000000000202,0.2692733333333333,294992,884976,11839,141,428168,0,0,0,0,0.0,0,0,0,0,0,0,18437,668,2377,700,0.007939768630736472,28085,0,0,0
106,18455,18,pair_014_n5_014_conflict,conflict,0,1,0,-0.5700000000000001,0.26924333333333333,295280,885840,11857,141,428721,0,0,0,0,0.0,0,0,0,0,0,0,18455,670,2384,702,0.007932024613648786,28108,0,0,0
107,18654,199,pair_000_n5_000_conflict,conflict,0,1,0,0.07000000000000006,0.26891166666666666,298464,895392,11954,141,434765,0,0,0,0,0.0,0,0,0,0,0,0,18654,671,2388,703,0.007850211392103778,28314,0,0,0
108,18908,254,pair_012_n5_012_conflict,conflict,0,1,0,-2.930000000000001,0.26848833333333333,302528,907584,12208,143,442617,0,0,0,0,0.0,0,0,0,0,0,0,18908,676,2405,708,0.0077455745372227505,28593,0,0,0
109,18937,29,pair_013_n5_013_conflict,conflict,0,1,0,-0.5800000000000001,0.26844,302992,908976,12237,143,443533,0,0,0,0,0.0,0,0,0,0,0,0,18937,681,2423,713,0.007733713014194844,28621,0,0,0
110,19237,300,pair_002_n3_002_control,control,0,0,0,-2.8000000000000007,0.26794,307792,923376,12537,143,453099,0,0,0,0,0.0,0,0,0,0,0,0,19237,683,2430,715,0.007681757432472312,28953,0,0,0
